sie	ɕ ɛ
wakacyjny	v a k a t͡s ɘ j n ɘ
wdrażanie	v d r a ʐ a ɲ ɛ
weterynarza	v ɛ t ɛ r ɘ n a ʐ a
wirusów	v i r u s u f
wkurzył	f k u ʐ ɘ w
wojownika	v ɔ j ɔ v ɲ i k a
wsieci	f ɕ ɛ t͡ɕ i
współpracowali	f s p u w p r a t͡s ɔ v a l i
wstaję	f s t a j ɛ
wstępną	f s t ɛ m p n ɔ w̃
wybudowano	v ɘ b u d ɔ v a n ɔ
wygnaniu	v ɘ ɡ n a ɲ u
wyjaśnij	v ɘ j a ɕ ɲ i j
wyjaśnione	v ɘ j a ɕ ɲ ɔ n ɛ
wykluczony	v ɘ k l u t͡ʂ ɔ n ɘ
wykonanego	v ɘ k ɔ n a n ɛ ɡ ɔ
wykrywania	v ɘ k r ɘ v a ɲ a
wypowiedziane	v ɘ p ɔ v j ɛ d͡ʑ a n ɛ
wyprzedzeniem	v ɘ p ʂ ɛ d͡z ɛ ɲ ɛ m
wyrażeń	v ɘ r a ʐ ɛ ɲ
wystrzelił	v ɘ s t ʂ ɛ l i w
wysyłki	v ɘ s ɘ w k i
wózkach	v u s k a x
włączyli	v w ɔ n t͡ʂ ɘ l i
zadawania	z a d a v a ɲ a
zadawał	z a d a v a w
zagrajmy	z a ɡ r a j m ɘ
zagroził	z a ɡ r ɔ ʑ i w
zajmowania	z a j m ɔ v a ɲ a
zaniedbania	z a ɲ ɛ d b a ɲ a
zaproponuje	z a p r ɔ p ɔ n u j ɛ
zasadniczym	z a s a d ɲ i t͡ʂ ɘ m
zasłania	z a s w a ɲ a
zauważają	z a u v a ʐ a j ɔ w̃
zdecydowano	z d ɛ t͡s ɘ d ɔ v a n ɔ
zdążyłam	z d ɔ n ʐ ɘ w a m
zmusili	z m u ɕ i l i
łącząca	w ɔ n t͡ʂ ɔ n t͡s a
śledczym	ɕ l ɛ t t͡ʂ ɘ m
świątecznych	ɕ f j ɔ n t ɛ t͡ʂ n ɘ x
żałobie	ʐ a w ɔ b j ɛ
aarona	a a r ɔ n a
alexis	a l ɛ k s i s
ambitnych	a m b i t n ɘ x
andreas	a n d r ɛ a s
apostolskiej	a p ɔ s t ɔ l s k j ɛ j
aranżacje	a r a n ʐ a t͡s j ɛ
audycję	a w d ɘ t͡s j ɛ
badawcza	b a d a f t͡ʂ a
behind	b ɛ x i n t
budowana	b u d ɔ v a n a
budy	b u d ɘ
błogosławieństwem	b w ɔ ɡ ɔ s w a v j ɛ ɲ s t f ɛ m
błędnych	b w ɛ n d n ɘ x
celna	t͡s ɛ l n a
cenionych	t͡s ɛ ɲ ɔ n ɘ x
cesarskie	t͡s ɛ s a r s k j ɛ
ceta	t͡s ɛ t a
chevrolet	x ɛ v r ɔ l ɛ t
chroniące	x r ɔ ɲ ɔ n t͡s ɛ
close	t͡s l ɔ s ɛ
czułości	t͡ʂ u w ɔ ɕ t͡ɕ i
dostępną	d ɔ s t ɛ m p n ɔ w̃
dosłownym	d ɔ s w ɔ v n ɘ m
dowiedziec	d ɔ v j ɛ d͡ʑ ɛ t͡s
drobno	d r ɔ b n ɔ
dublinie	d u b l i ɲ ɛ
dywany	d ɘ v a n ɘ
eda	ɛ d a
ekologicznego	ɛ k ɔ l ɔ ɡ i t͡ʂ n ɛ ɡ ɔ
elewacje	ɛ l ɛ v a t͡s j ɛ
epizody	ɛ p i z ɔ d ɘ
erin	ɛ r i n
ewentualnego	ɛ v ɛ n t u a l n ɛ ɡ ɔ
fajerwerków	f a j ɛ r v ɛ r k u f
fakturę	f a k t u r ɛ
faktycznej	f a k t ɘ t͡ʂ n ɛ j
faq	f a k
faworytem	f a v ɔ r ɘ t ɛ m
federację	f ɛ d ɛ r a t͡s j ɛ
feng	f ɛ ŋ k
filii	f i l j i
formalnym	f ɔ r m a l n ɘ m
formularza	f ɔ r m u l a ʐ a
fortu	f ɔ r t u
fotele	f ɔ t ɛ l ɛ
fra	f r a
francuza	f r a n t͡s u z a
fraser	f r a s ɛ r
freda	f r ɛ d a
generałów	ɡ ɛ n ɛ r a w u f
geście	ɡ ɛ ɕ t͡ɕ ɛ
globalizacji	ɡ l ɔ b a l i z a t͡s j i
gomez	ɡ ɔ m ɛ s
government	ɡ ɔ v ɛ r n m ɛ n t
graficzna	ɡ r a f i t͡ʂ n a
groziło	ɡ r ɔ ʑ i w ɔ
gruźlicę	ɡ r u ʑ l i t͡s ɛ
guziki	ɡ u ʑ i k i
hamulców	x a m u l t͡s u f
harcerzy	x a r t͡s ɛ ʐ ɘ
haven	x a v ɛ n
ikei	i k ɛ i
instrumencie	i n s t r u m ɛ n t͡ɕ ɛ
intelektualna	i n t ɛ l ɛ k t u a l n a
irl	i r l
jednolitego	j ɛ d n ɔ l i t ɛ ɡ ɔ
jkm	j ɛ k ɛ m
jow	j ɔ f
juniora	j u ɲ ɔ r a
kandydatami	k a n d ɘ d a t a m i
karabinem	k a r a b i n ɛ m
kierownicę	k j ɛ r ɔ v ɲ i t͡s ɛ
kijowskim	k i j ɔ f s k i m
kitty	k i t t ɘ
klimatycznej	k l i m a t ɘ t͡ʂ n ɛ j
kliniczne	k l i ɲ i t͡ʂ n ɛ
kodowania	k ɔ d ɔ v a ɲ a
kolumnę	k ɔ l u m n ɛ
konkurencje	k ɔ ŋ k u r ɛ n t͡s j ɛ
kontrolowana	k ɔ n t r ɔ l ɔ v a n a
kosmitów	k ɔ s m i t u f
kotlety	k ɔ t l ɛ t ɘ
kretyna	k r ɛ t ɘ n a
krucjaty	k r u t͡s j a t ɘ
krytyczna	k r ɘ t ɘ t͡ʂ n a
księgach	k ɕ ɛ ŋ ɡ a x
kultem	k u l t ɛ m
kupiłaś	k u p i w a ɕ
kyle	k ɘ l ɛ
ladnie	l a d ɲ ɛ
lampki	l a m p k i
lidl	l i d l
literki	l i t ɛ r k i
liv	l i f
losowe	l ɔ s ɔ v ɛ
lubia	l u b j a
luksusowych	l u k s u s ɔ v ɘ x
marszem	m a r ʂ ɛ m
matta	m a t t a
metrem	m ɛ t r ɛ m
miejsko	m j ɛ j s k ɔ
mieszanką	m j ɛ ʂ a ŋ k ɔ w̃
milionom	m i l j ɔ n ɔ m
miłośnicy	m i w ɔ ɕ ɲ i t͡s ɘ
mniemam	m ɲ ɛ m a m
mom	m ɔ m
myślących	m ɘ ɕ l ɔ n t͡s ɘ x
najemników	n a j ɛ m ɲ i k u f
nalotu	n a l ɔ t u
neapolu	n ɛ a p ɔ l u
nieograniczone	ɲ ɛ ɔ ɡ r a ɲ i t͡ʂ ɔ n ɛ
nieznajomych	ɲ ɛ z n a j ɔ m ɘ x
nigel	ɲ i ɡ ɛ l
nolan	n ɔ l a n
obchodził	ɔ p x ɔ d͡ʑ i w
obrączki	ɔ b r ɔ n t͡ʂ k i
obsesji	ɔ p s ɛ s j i
obwodów	ɔ b v ɔ d u f
ochronne	ɔ x r ɔ n n ɛ
oddalona	ɔ d d a l ɔ n a
odmianę	ɔ d m j a n ɛ
odp	ɔ t p ɛ
odpadają	ɔ t p a d a j ɔ w̃
odprawy	ɔ t p r a v ɘ
ogona	ɔ ɡ ɔ n a
ograniczonych	ɔ ɡ r a ɲ i t͡ʂ ɔ n ɘ x
ogłaszam	ɔ ɡ w a ʂ a m
okrągłym	ɔ k r ɔ ŋ ɡ w ɘ m
olejem	ɔ l ɛ j ɛ m
operatorem	ɔ p ɛ r a t ɔ r ɛ m
otyłości	ɔ t ɘ w ɔ ɕ t͡ɕ i
pgnig	p ɡ ɲ i k
pierce	p j ɛ r t͡s ɛ
pio	p j ɔ
pobliskie	p ɔ b l i s k j ɛ
pobrali	p ɔ b r a l i
pochwalił	p ɔ x f a l i w
podjąłem	p ɔ d j ɔ w ɛ m
podjęliśmy	p ɔ d j ɛ l i ɕ m ɘ
podlasia	p ɔ d l a ɕ a
podobieństw	p ɔ d ɔ b j ɛ ɲ s t f
podręcznikach	p ɔ d r ɛ n t͡ʂ ɲ i k a x
podłączone	p ɔ d w ɔ n t͡ʂ ɔ n ɛ
pogłębia	p ɔ ɡ w ɛ m b j a
polakow	p ɔ l a k ɔ f
policjantom	p ɔ l i t͡s j a n t ɔ m
pomija	p ɔ m i j a
pomijam	p ɔ m i j a m
poniosły	p ɔ ɲ ɔ s w ɘ
postaciach	p ɔ s t a t͡ɕ a x
potrącił	p ɔ t r ɔ ɲ t͡ɕ i w
potworem	p ɔ t f ɔ r ɛ m
powołują	p ɔ v ɔ w u j ɔ w̃
powstrzymania	p ɔ f s t ʂ ɘ m a ɲ a
pozwalającą	p ɔ z v a l a j ɔ n t͡s ɔ w̃
pozycjonowanie	p ɔ z ɘ t͡s j ɔ n ɔ v a ɲ ɛ
położono	p ɔ w ɔ ʐ ɔ n ɔ
połączyły	p ɔ w ɔ n t͡ʂ ɘ w ɘ
prezesi	p r ɛ z ɛ ɕ i
proroków	p r ɔ r ɔ k u f
prosiłam	p r ɔ ɕ i w a m
przebywając	p ʂ ɛ b ɘ v a j ɔ n t͡s
przeciwnego	p ʂ ɛ t͡ɕ i v n ɛ ɡ ɔ
przeciętnych	p ʂ ɛ t͡ɕ ɛ n t n ɘ x
przedstawieniem	p ʂ ɛ t s t a v j ɛ ɲ ɛ m
przedstawień	p ʂ ɛ t s t a v j ɛ ɲ
przegraną	p ʂ ɛ ɡ r a n ɔ w̃
przekazem	p ʂ ɛ k a z ɛ m
przemowę	p ʂ ɛ m ɔ v ɛ
przemysłem	p ʂ ɛ m ɘ s w ɛ m
przemyśla	p ʂ ɛ m ɘ ɕ l a
przenika	p ʂ ɛ ɲ i k a
przenoszone	p ʂ ɛ n ɔ ʂ ɔ n ɛ
przeprowadzonym	p ʂ ɛ p r ɔ v a d͡z ɔ n ɘ m
przeróbki	p ʂ ɛ r u p k i
przewozy	p ʂ ɛ v ɔ z ɘ
przewoźników	p ʂ ɛ v ɔ ʑ ɲ i k u f
przeznaczył	p ʂ ɛ z n a t͡ʂ ɘ w
przyciągnie	p ʂ ɘ t͡ɕ ɔ ŋ ɡ ɲ ɛ
przygląda	p ʂ ɘ ɡ l ɔ n d a
przygotowałam	p ʂ ɘ ɡ ɔ t ɔ v a w a m
przygotowywał	p ʂ ɘ ɡ ɔ t ɔ v ɘ v a w
przystankiem	p ʂ ɘ s t a ŋ k j ɛ m
przystąpienia	p ʂ ɘ s t ɔ m p j ɛ ɲ a
psychologicznego	p s ɘ x ɔ l ɔ ɡ i t͡ʂ n ɛ ɡ ɔ
pytaniu	p ɘ t a ɲ u
rakietowych	r a k j ɛ t ɔ v ɘ x
rangę	r a ŋ ɡ ɛ
rejestracyjne	r ɛ j ɛ s t r a t͡s ɘ j n ɛ
rejsu	r ɛ j s u
renesansu	r ɛ n ɛ s a n s u
rocznych	r ɔ t͡ʂ n ɘ x
rozchodzi	r ɔ s x ɔ d͡ʑ i
roznica	r ɔ z ɲ i t͡s a
rozpadzie	r ɔ s p a d͡ʑ ɛ
rss	ɛ r ɛ s ɛ s
ruinie	r u i ɲ ɛ
rush	r u ʂ
russo	r u s s ɔ
salvador	s a l v a d ɔ r
samochodowej	s a m ɔ x ɔ d ɔ v ɛ j
samuela	s a m u ɛ l a
sejmem	s ɛ j m ɛ m
sense	s ɛ n s ɛ
siedemdziesiątych	ɕ ɛ d ɛ m d͡ʑ ɛ ɕ ɔ n t ɘ x
since	ɕ i n t͡s ɛ
six	ɕ i k s
siłowe	ɕ i w ɔ v ɛ
skomplikowaną	s k ɔ m p l i k ɔ v a n ɔ w̃
składającego	s k w a d a j ɔ n t͡s ɛ ɡ ɔ
soros	s ɔ r ɔ s
sosnowca	s ɔ s n ɔ f t͡s a
sounds	s a w n t s
specjalnością	s p ɛ t͡s j a l n ɔ ɕ t͡ɕ ɔ w̃
spekulacji	s p ɛ k u l a t͡s j i
sportowo	s p ɔ r t ɔ v ɔ
sprawdzic	s p r a v d͡ʑ i t͡s
spóźnia	s p u ʑ ɲ a
stark	s t a r k
starożytne	s t a r ɔ ʐ ɘ t n ɛ
strychu	s t r ɘ x u
sudanie	s u d a ɲ ɛ
symboliczną	s ɘ m b ɔ l i t͡ʂ n ɔ w̃
szkolno	ʂ k ɔ l n ɔ
szukaniu	ʂ u k a ɲ u
służącego	s w u ʐ ɔ n t͡s ɛ ɡ ɔ
terytorialne	t ɛ r ɘ t ɔ r j a l n ɛ
totalnym	t ɔ t a l n ɘ m
tunele	t u n ɛ l ɛ
tuskiem	t u s k j ɛ m
twitterem	t f i t t ɛ r ɛ m
ubolewam	u b ɔ l ɛ v a m
uciekinierów	u t͡ɕ ɛ k i ɲ ɛ r u f
uczynki	u t͡ʂ ɘ ŋ k i
ujawniają	u j a v ɲ a j ɔ w̃
ujawnione	u j a v ɲ ɔ n ɛ
ujęć	u j ɛ ɲ t͡ɕ
ukazujący	u k a z u j ɔ n t͡s ɘ
ukochane	u k ɔ x a n ɛ
ulubieńcem	u l u b j ɛ ɲ t͡s ɛ m
umknęło	u m k n ɛ w ɔ
unijnej	u ɲ i j n ɛ j
uniwersalnych	u ɲ i v ɛ r s a l n ɘ x
uszkodzonych	u ʂ k ɔ d͡z ɔ n ɘ x
utrudniają	u t r u d ɲ a j ɔ w̃
utworzyła	u t f ɔ ʐ ɘ w a
vis	v i s
wariata	v a r j a t a
wchodziła	f x ɔ d͡ʑ i w a
wesley	v ɛ s l ɛ j
widuje	v i d u j ɛ
widzew	v i d͡z ɛ f
wieksze	v j ɛ k ʂ ɛ
wlasne	v l a s n ɛ
wnioskuje	v ɲ ɔ s k u j ɛ
wpisanie	f p i s a ɲ ɛ
wskazała	f s k a z a w a
wspomniano	f s p ɔ m ɲ a n ɔ
wstępnego	f s t ɛ m p n ɛ ɡ ɔ
wydawały	v ɘ d a v a w ɘ
wylicza	v ɘ l i t͡ʂ a
wyląduje	v ɘ l ɔ n d u j ɛ
wymieniany	v ɘ m j ɛ ɲ a n ɘ
zachowany	z a x ɔ v a n ɘ
zadebiutowała	z a d ɛ b j u t ɔ v a w a
zadowolone	z a d ɔ v ɔ l ɔ n ɛ
zagłosowali	z a ɡ w ɔ s ɔ v a l i
zalecane	z a l ɛ t͡s a n ɛ
zambii	z a m b j i
zamieszczono	z a m j ɛ ʂ t͡ʂ ɔ n ɔ
zaprezentowana	z a p r ɛ z ɛ n t ɔ v a n a
zapytali	z a p ɘ t a l i
zarzucił	z a ʐ u t͡ɕ i w
zatrudniania	z a t r u d ɲ a ɲ a
zatrzymaniu	z a t ʂ ɘ m a ɲ u
założeniach	z a w ɔ ʐ ɛ ɲ a x
założymy	z a w ɔ ʐ ɘ m ɘ
zbiegł	z b j ɛ ɡ w
zbliżania	z b l i ʐ a ɲ a
zdejmuje	z d ɛ j m u j ɛ
zdenerwowana	z d ɛ n ɛ r v ɔ v a n a
zdziwiona	z d͡ʑ i v j ɔ n a
zdążysz	z d ɔ n ʐ ɘ ʂ
zebym	z ɛ b ɘ m
zgadnijcie	z ɡ a d ɲ i j t͡ɕ ɛ
zgadzało	z ɡ a d͡z a w ɔ
zmieniliśmy	z m j ɛ ɲ i l i ɕ m ɘ
zmniejszeniu	z m ɲ ɛ j ʂ ɛ ɲ u
zmusiło	z m u ɕ i w ɔ
zrzesza	z ʐ ɛ ʂ a
związkowcy	z v j ɔ n s k ɔ f t͡s ɘ
zwolnień	z v ɔ l ɲ ɛ ɲ
zwrócono	z v r u t͡s ɔ n ɔ
zwycięży	z v ɘ t͡ɕ ɛ n ʐ ɘ
świecka	ɕ f j ɛ t͡s k a
żywota	ʐ ɘ v ɔ t a
ankiecie	a ŋ k j ɛ t͡ɕ ɛ
arizonie	a r i z ɔ ɲ ɛ
armaty	a r m a t ɘ
arrow	a r r ɔ f
arturo	a r t u r ɔ
badawczą	b a d a f t͡ʂ ɔ w̃
bale	b a l ɛ
bei	b ɛ i
bezpieczeństwu	b ɛ s p j ɛ t͡ʂ ɛ ɲ s t f u
biznesowej	b i z n ɛ s ɔ v ɛ j
blogerów	b l ɔ ɡ ɛ r u f
bloom	b l u m
bluzę	b l u z ɛ
bolszewików	b ɔ l ʂ ɛ v i k u f
bono	b ɔ n ɔ
brytanią	b r ɘ t a ɲ ɔ w̃
chase	x a s ɛ
chemioterapii	x ɛ m j ɔ t ɛ r a p j i
chorzowie	x ɔ ʐ ɔ v j ɛ
chwilowe	x f i l ɔ v ɛ
cieplarnianych	t͡ɕ ɛ p l a r ɲ a n ɘ x
civic	t͡ɕ i v i t͡s
cytuję	t͡s ɘ t u j ɛ
daddy	d a d d ɘ
deklarują	d ɛ k l a r u j ɔ w̃
delikatnym	d ɛ l i k a t n ɘ m
department	d ɛ p a r t m ɛ n t
dobiegła	d ɔ b j ɛ ɡ w a
dodac	d ɔ d a t͡s
dolores	d ɔ l ɔ r ɛ s
doprowadzą	d ɔ p r ɔ v a d͡z ɔ w̃
dora	d ɔ r a
dotarciu	d ɔ t a r t͡ɕ u
dotkniętych	d ɔ t k ɲ ɛ n t ɘ x
dowiedziałaś	d ɔ v j ɛ d͡ʑ a w a ɕ
dozą	d ɔ z ɔ w̃
doświadczeni	d ɔ ɕ f j a t t͡ʂ ɛ ɲ i
drewnianym	d r ɛ v ɲ a n ɘ m
duecie	d u ɛ t͡ɕ ɛ
dywanu	d ɘ v a n u
dziecinne	d͡ʑ ɛ t͡ɕ i n n ɛ
efektami	ɛ f ɛ k t a m i
egzaminem	ɛ ɡ z a m i n ɛ m
ekologicznym	ɛ k ɔ l ɔ ɡ i t͡ʂ n ɘ m
evo	ɛ v ɔ
farta	f a r t a
fotograficznym	f ɔ t ɔ ɡ r a f i t͡ʂ n ɘ m
gi	ɡ i
giganta	ɡ i ɡ a n t a
grama	ɡ r a m a
gregory	ɡ r ɛ ɡ ɔ r ɘ
grupom	ɡ r u p ɔ m
gumowe	ɡ u m ɔ v ɛ
gun	ɡ u n
górnicza	ɡ u r ɲ i t͡ʂ a
głupcy	ɡ w u p t͡s ɘ
hai	x a i
harley	x a r l ɛ j
hayes	x a j ɛ s
heroiny	x ɛ r ɔ i n ɘ
hindusi	x i n d u ɕ i
histoire	x i s t ɔ i r ɛ
hybrydy	x ɘ b r ɘ d ɘ
impact	i m p a t͡s t
informowania	i n f ɔ r m ɔ v a ɲ a
interaktywna	i n t ɛ r a k t ɘ v n a
ipad	i p a t
ipada	i p a d a
jeansy	j ɛ a n s ɘ
kabli	k a b l i
kojarzone	k ɔ j a ʐ ɔ n ɛ
kombinuje	k ɔ m b i n u j ɛ
kompletu	k ɔ m p l ɛ t u
konkursem	k ɔ ŋ k u r s ɛ m
korupcją	k ɔ r u p t͡s j ɔ w̃
korzeniach	k ɔ ʐ ɛ ɲ a x
kresu	k r ɛ s u
kris	k r i s
księstwa	k ɕ ɛ n s t f a
laureatem	l a w r ɛ a t ɛ m
legalnej	l ɛ ɡ a l n ɛ j
limitów	l i m i t u f
lubuskiego	l u b u s k j ɛ ɡ ɔ
mailu	m a i l u
manipuluje	m a ɲ i p u l u j ɛ
many	m a n ɘ
maratonie	m a r a t ɔ ɲ ɛ
mari	m a r i
martwił	m a r t f i w
mgnieniu	m ɡ ɲ ɛ ɲ u
millennium	m i l ɛ n ɲ u m
milton	m i l t ɔ n
ministerstwem	m i ɲ i s t ɛ r s t f ɛ m
molly	m ɔ l l ɘ
moralną	m ɔ r a l n ɔ w̃
mozambiku	m ɔ z a m b i k u
młodzieżowa	m w ɔ d͡ʑ ɛ ʐ ɔ v a
najtańsze	n a j t a ɲ ʂ ɛ
narzekania	n a ʐ ɛ k a ɲ a
nastolatkowie	n a s t ɔ l a t k ɔ v j ɛ
następującej	n a s t ɛ m p u j ɔ n t͡s ɛ j
naukowymi	n a w k ɔ v ɘ m i
nielegalną	ɲ ɛ l ɛ ɡ a l n ɔ w̃
niepewne	ɲ ɛ p ɛ v n ɛ
niespotykane	ɲ ɛ s p ɔ t ɘ k a n ɛ
nowogrodzkiej	n ɔ v ɔ ɡ r ɔ t͡s k j ɛ j
obchodziło	ɔ p x ɔ d͡ʑ i w ɔ
obserwowanych	ɔ p s ɛ r v ɔ v a n ɘ x
obsługiwane	ɔ p s w u ɡ i v a n ɛ
obyło	ɔ b ɘ w ɔ
odbił	ɔ d b i w
odczytu	ɔ t t͡ʂ ɘ t u
odrzuceniu	ɔ d ʐ u t͡s ɛ ɲ u
odsłonięcie	ɔ t s w ɔ ɲ ɛ ɲ t͡ɕ ɛ
odwołaniu	ɔ d v ɔ w a ɲ u
okazalo	ɔ k a z a l ɔ
oooo	ɔ ɔ ɔ
osiągniesz	ɔ ɕ ɔ ŋ ɡ ɲ ɛ ʂ
osiągnięte	ɔ ɕ ɔ ŋ ɡ ɲ ɛ n t ɛ
osobniki	ɔ s ɔ b ɲ i k i
panują	p a n u j ɔ w̃
paolo	p a ɔ l ɔ
pedagogiczne	p ɛ d a ɡ ɔ ɡ i t͡ʂ n ɛ
pedofila	p ɛ d ɔ f i l a
pełnomocnika	p ɛ w n ɔ m ɔ t͡s ɲ i k a
piotrem	p j ɔ t r ɛ m
piszących	p i ʂ ɔ n t͡s ɘ x
piękniejsze	p j ɛ ŋ k ɲ ɛ j ʂ ɛ
pochodne	p ɔ x ɔ d n ɛ
podejrzanie	p ɔ d ɛ j ʐ a ɲ ɛ
podkarpaciu	p ɔ t k a r p a t͡ɕ u
podnieśli	p ɔ d ɲ ɛ ɕ l i
podzielili	p ɔ d͡ʑ ɛ l i l i
podzielono	p ɔ d͡ʑ ɛ l ɔ n ɔ
pokrewne	p ɔ k r ɛ v n ɛ
pomoce	p ɔ m ɔ t͡s ɛ
poradziła	p ɔ r a d͡ʑ i w a
poruszających	p ɔ r u ʂ a j ɔ n t͡s ɘ x
posuwa	p ɔ s u v a
poszukuję	p ɔ ʂ u k u j ɛ
powiadasz	p ɔ v j a d a ʂ
pozatym	p ɔ z a t ɘ m
pozostania	p ɔ z ɔ s t a ɲ a
położyła	p ɔ w ɔ ʐ ɘ w a
poślubił	p ɔ ɕ l u b i w
pracodawcą	p r a t͡s ɔ d a f t͡s ɔ w̃
premię	p r ɛ m j ɛ
promujących	p r ɔ m u j ɔ n t͡s ɘ x
propagandową	p r ɔ p a ɡ a n d ɔ v ɔ w̃
przechowuje	p ʂ ɛ x ɔ v u j ɛ
przekazaniu	p ʂ ɛ k a z a ɲ u
przekonała	p ʂ ɛ k ɔ n a w a
przepustkę	p ʂ ɛ p u s t k ɛ
przeszkodę	p ʂ ɛ ʂ k ɔ d ɛ
przewrócił	p ʂ ɛ v r u t͡ɕ i w
przełożonym	p ʂ ɛ w ɔ ʐ ɔ n ɘ m
przydatnych	p ʂ ɘ d a t n ɘ x
przydał	p ʂ ɘ d a w
przydałaby	p ʂ ɘ d a w a b ɘ
przygnębiające	p ʂ ɘ ɡ n ɛ m b j a j ɔ n t͡s ɛ
przyjazdem	p ʂ ɘ j a z d ɛ m
przywiązuje	p ʂ ɘ v j ɔ n z u j ɛ
publicznymi	p u b l i t͡ʂ n ɘ m i
publikacją	p u b l i k a t͡s j ɔ w̃
publikowania	p u b l i k ɔ v a ɲ a
płaszczyzny	p w a ʂ t͡ʂ ɘ z n ɘ
radnym	r a d n ɘ m
rapu	r a p u
rekomendacje	r ɛ k ɔ m ɛ n d a t͡s j ɛ
rewelacyjnie	r ɛ v ɛ l a t͡s ɘ j ɲ ɛ
rodzajach	r ɔ d͡z a j a x
rosemary	r ɔ s ɛ m a r ɘ
rownież	r ɔ v ɲ ɛ ʂ
rozbija	r ɔ z b i j a
rozkłada	r ɔ s k w a d a
rozpadnie	r ɔ s p a d ɲ ɛ
rozumiałam	r ɔ z u m j a w a m
rozwijała	r ɔ z v i j a w a
rynkowe	r ɘ ŋ k ɔ v ɛ
sagi	s a ɡ i
samodzielnych	s a m ɔ d͡ʑ ɛ l n ɘ x
samodzielnym	s a m ɔ d͡ʑ ɛ l n ɘ m
satelitarnej	s a t ɛ l i t a r n ɛ j
schematy	s x ɛ m a t ɘ
schwytany	s x f ɘ t a n ɘ
simpson	ɕ i m p s ɔ n
sims	ɕ i m s
smile	s m i l ɛ
smogiem	s m ɔ ɡ j ɛ m
smoków	s m ɔ k u f
socjalistyczną	s ɔ t͡s j a l i s t ɘ t͡ʂ n ɔ w̃
socjalnego	s ɔ t͡s j a l n ɛ ɡ ɔ
sportowcem	s p ɔ r t ɔ f t͡s ɛ m
sprawdzeniu	s p r a v d͡z ɛ ɲ u
sprawdzony	s p r a v d͡z ɔ n ɘ
sprzedanych	s p ʂ ɛ d a n ɘ x
stanowiąc	s t a n ɔ v j ɔ n t͡s
starbucks	s t a r b u t͡s k s
stereo	s t ɛ r ɛ ɔ
stosowano	s t ɔ s ɔ v a n ɔ
surowych	s u r ɔ v ɘ x
swoistą	s f ɔ i s t ɔ w̃
szerzy	ʂ ɛ ʐ ɘ
sąsiednie	s ɔ w̃ ɕ ɛ d ɲ ɛ
sędziemu	s ɛ ɲ d͡ʑ ɛ m u
służbowych	s w u ʐ b ɔ v ɘ x
tabele	t a b ɛ l ɛ
teatralnym	t ɛ a t r a l n ɘ m
technologies	t ɛ x n ɔ l ɔ ɡ j ɛ s
temperaturą	t ɛ m p ɛ r a t u r ɔ w̃
toalet	t ɔ a l ɛ t
trwającego	t r f a j ɔ n t͡s ɛ ɡ ɔ
ubocznych	u b ɔ t͡ʂ n ɘ x
uczennice	u t͡ʂ ɛ n ɲ i t͡s ɛ
udowodni	u d ɔ v ɔ d ɲ i
udowodnienia	u d ɔ v ɔ d ɲ ɛ ɲ a
ukazanie	u k a z a ɲ ɛ
ukrytej	u k r ɘ t ɛ j
ultimate	u l t i m a t ɛ
umożliwienia	u m ɔ ʐ l i v j ɛ ɲ a
umysłem	u m ɘ s w ɛ m
universe	u ɲ i v ɛ r s ɛ
ustalili	u s t a l i l i
ustalonych	u s t a l ɔ n ɘ x
utrzymywała	u t ʂ ɘ m ɘ v a w a
utworzonych	u t f ɔ ʐ ɔ n ɘ x
uzyska	u z ɘ s k a
używaniu	u ʐ ɘ v a ɲ u
var	v a r
vito	v i t ɔ
walczące	v a l t͡ʂ ɔ n t͡s ɛ
walentynek	v a l ɛ n t ɘ n ɛ k
wave	v a v ɛ
weryfikację	v ɛ r ɘ f i k a t͡s j ɛ
wezwała	v ɛ z v a w a
wilna	v i l n a
wnioskuję	v ɲ ɔ s k u j ɛ
wniosła	v ɲ ɔ s w a
wnoszą	v n ɔ ʂ ɔ w̃
wojewódzkie	v ɔ j ɛ v u t͡s k j ɛ
wordpress	v ɔ r t p r ɛ s
wprowadziły	f p r ɔ v a d͡ʑ i w ɘ
wspólników	f s p u l ɲ i k u f
współczynnika	f s p u w t͡ʂ ɘ n ɲ i k a
wydobywa	v ɘ d ɔ b ɘ v a
wykonywaniu	v ɘ k ɔ n ɘ v a ɲ u
wymiarów	v ɘ m j a r u f
wypełniania	v ɘ p ɛ w ɲ a ɲ a
wyrazili	v ɘ r a ʑ i l i
wyrośnie	v ɘ r ɔ ɕ ɲ ɛ
wyróżnieniem	v ɘ r u ʐ ɲ ɛ ɲ ɛ m
wystawiania	v ɘ s t a v j a ɲ a
wystawione	v ɘ s t a v j ɔ n ɛ
wywiera	v ɘ v j ɛ r a
wzywał	v z ɘ v a w
włączy	v w ɔ n t͡ʂ ɘ
zaangażowała	z a a ŋ ɡ a ʐ ɔ v a w a
zabudowę	z a b u d ɔ v ɛ
zabójstwem	z a b u j s t f ɛ m
zadebiutował	z a d ɛ b j u t ɔ v a w
zadna	z a d n a
zadowolonych	z a d ɔ v ɔ l ɔ n ɘ x
zaginionej	z a ɡ i ɲ ɔ n ɛ j
zagrażają	z a ɡ r a ʐ a j ɔ w̃
zakończonych	z a k ɔ ɲ t͡ʂ ɔ n ɘ x
zamiarów	z a m j a r u f
